Character,Equip,Strategy,Blessing,Journeys,Turns,DPS,MaxHit,Stats
프레이,파괴4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,4120.8,40142.03,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,3093.3,23938.47,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,3494.31,30923.54,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,3507.16,30923.54,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,3536.17,26912.72,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,4027.86,39116.76,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,4015.81,39116.76,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+장벽2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,3093.3,23938.47,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+장벽2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,3494.31,30923.54,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+장벽2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,3507.16,30923.54,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
